"Title","Description","ID","Owner","Created Date","Updated Date","Date","Year","Category","Image"
"Purdue talk","<p class=""font_8"">Gave invited talk ""Learning to Manage in Grad School for a Sustainable Career in Future"" at Purdue University. <u>Here</u>&nbsp;is an uncut version.</p>","477f4b44-a3a9-4e7f-91c3-1e9a1c88b82e","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2021-04-30T15:31:09Z,"July 2020",2020-07-01T05:00:00Z,"Service","wix:image://v1/c8381ce0e7a94ad09ceaada2fc64081d.jpg/c8381ce0e7a94ad09ceaada2fc64081d.jpg#originWidth=1920&originHeight=1276"
"🔬REWORDS'23","<p class=""font_8"">Our paper titled ""Building the I (Interoperability) of FAIR for performance reproducibility of large-scale composable workflows in RECUP"" has been accepted at the Reproducible Workflows, Data Management, and Security workshop.</p>","4811e10b-2260-4b51-b345-896a8accbb98","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2023-09-08T04:23:08Z,2025-08-21T05:40:33Z,"Aug 2023",2023-08-25T17:00:00Z,"Papers",
"🔬 CCGrid'25","<p class=""font_8"">Our paper, ""xAMM: Attention to Details Improves Cross-Platform Prediction Accuracy,"" (pronounced as ""Exam"") has been accepted in the ML4Sys/Sys4ML track at CCGrid 2025 (Acceptance rate: 25%)! This research has been funded by LLNL's Fractal project. Kudos, Aakash and the team!&nbsp;</p>","48b19875-486d-4e26-8776-a4ba2418c73c","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2025-02-18T04:29:16Z,2025-08-21T05:36:10Z,"Feb 2025",2025-02-18T03:00:00Z,"Paper",
"RobustScience Community I","<p class=""font_8"">Excited to be in the RobustScience virtual café talking about scalability, reproducibility, and trustworthy issues of scientific workflows.&nbsp;</p>","48b27a6f-610c-45b3-bfd5-8e412a61d84f","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-02-17T20:30:49Z,2021-03-26T21:16:03Z,"Feb 2021",2021-02-01T06:00:00Z,"Service",
"🏅 Valero Award","<p class=""font_8"">The faculty senate has awarded me the prestigious and selective Valero Award. Thanks!</p>","48f3ae36-17c9-4ead-8aaf-f2ce7002afcc","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2023-09-08T04:27:05Z,2025-08-21T05:36:44Z,"Aug 2023",2023-08-29T17:00:00Z,"Award",
"Join WWU","<p class=""font_8"">Joined as an Assistant Professor in CS at WWU.&nbsp;</p>","4ad9d7a4-5219-4d5e-963d-860777af571c","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2024-10-17T17:16:35Z,"Sept 2017",2017-09-11T05:00:00Z,"Others",
"🔬HPDC'25","<p class=""font_8"">📄 Paper Accepted<strong> @ HPDC’25 (19% acceptance) — </strong>“<a href=""https://dl.acm.org/doi/10.1145/3731545.3731593""><u>ModelX: A Novel Transfer Learning Approach Across Heterogeneous Datasets</u></a>”<strong> (led by Arunavo Dey), considered for Best Paper Award!</strong></p>","4c16cd44-558b-4a20-bf97-cee0ebad9083","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2025-04-26T21:11:44Z,2025-09-11T14:10:01Z,"April 2025",2025-04-26T17:00:00Z,"Paper",
"LLNL Intern","<p class=""font_8"">Congratulations to Aakash for securing a data analytics internship at LLNL for summer'24!</p>","51e7191a-e6ca-45e7-b4e6-e5ff16a032d5","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2024-05-13T13:05:46Z,2024-05-13T13:05:46Z,"May 2024",2024-05-13T17:00:00Z,"Research",
"REP Funding","<p class=""font_8"">Received funding from the Research Enhancement Program at TXST for developing deep learning models using code structure to predict performance.&nbsp;</p>","55187d3a-85ec-4df9-b0d9-1d1ee1b444f0","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-02-17T20:27:56Z,2021-04-30T17:05:56Z,"Jan 2021",2021-01-01T06:00:00Z,"Award",
"DOE Next-gen Data Management","<p class=""font_8"">Excited! Our collaborative proposal with Brookhaven National Lab and Argonne National Lab has been funded by DOE.&nbsp;</p>","56363115-bce1-4a47-b3a6-2b48871530ea","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2022-09-08T20:39:28Z,2022-10-12T16:07:54Z,"Sept 2022",2022-09-01T17:00:00Z,"Award",
"💰 AMD Gift","<p class=""font_8"">Thank you to AMD for their generous research gift supporting our work.</p>","5720a189-ce41-408e-91f3-65ff045a98dc","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2025-11-19T02:55:41Z,2025-11-19T02:56:26Z,"Nov 2025",2025-11-18T18:00:00Z,"Funding",
"💰 NSF CAREER Award","<p class=""font_8"">I have been awarded the prestigious NSF CAREER award this year! This project will achieve my vision of AI4Performance!</p>","59bb0292-61d7-44b7-9853-929bcfa8e874","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2025-01-07T02:59:03Z,2025-08-21T05:36:06Z,"Jan 2025",2025-01-06T18:00:00Z,"Award",
"XSEDE","<p class=""font_8"">Received XSEDE allocation grant for my Parallel Computing course. Happy computing!</p>","5a3109dc-8e5f-4421-8144-f604eaea206e","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2024-10-17T17:16:22Z,"Sept 2018",2018-09-10T05:00:00Z,"Award",
"🏅 COSE Award'23","<p class=""font_8"">I have been awarded the ""Presidential Distinction Award"", the highest award for creative and scholarly activities in the College of Science and Engineering (COSE) at TxState.</p>","5d138aff-1cbb-4f43-b85e-cf494b3575aa","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2023-09-08T04:25:49Z,2025-08-21T05:36:39Z,"Aug 2023",2023-08-17T17:00:00Z,"Award",
"HiPC 2016","<p class=""font_8"">Our paper titled ""CMT-bone - A Proxy Application for Compressible Multiphase Turbulent Flows"" has been accepted in the 23rd IEEE International Conference on High Performance Computing, Data, and Analytics that will be held in Hyderabad, India during Dec 19-22 2016.</p>","5e4cad7e-305b-4778-b965-018db381309d","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2024-10-17T17:16:48Z,"Sep 2016",2016-09-26T05:00:00Z,"Paper",
"CHEOPS'22","<p class=""font_8"">I have been invited to give a talk at the CHEOPS workshop colocated with EuroSys'22.&nbsp;</p>","68f6f7df-c783-4614-9570-7bd6cec7b53b","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2022-04-04T15:23:16Z,2022-04-04T15:23:52Z,"April 2022",2022-04-05T05:00:00Z,"Service",
"CRA-W","<p class=""font_8"">Attending the CRA-W Career mentoring workshop in Phonix, AZ.</p>","69cb4d11-8051-4b2f-b89d-20d82ca0ed91","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2021-03-26T21:17:22Z,"Nov 2018",2018-11-03T05:00:00Z,"Service","wix:image://v1/c8381ce0e7a94ad09ceaada2fc64081d.jpg/c8381ce0e7a94ad09ceaada2fc64081d.jpg#originWidth=1920&originHeight=1276"
